Date,High,Low,Open,Close,Volume,Adj Close
2019-10-22,10027.1904296875,9934.5400390625,9982.8095703125,10017.349609375,67335700.0,10017.349609375
2019-10-23,10053.7802734375,9988.2802734375,9989.9599609375,10023.51953125,73891900.0,10023.51953125
2019-10-24,10115.51953125,10050.0400390625,10051.2802734375,10106.5302734375,69041600.0,10106.5302734375
2019-10-25,10197.08984375,10107.6298828125,10117.580078125,10197.08984375,57995200.0,10197.08984375
2019-10-28,10254.6396484375,10185.0703125,10190.169921875,10231.7998046875,62734200.0,10231.7998046875
2019-10-29,10260.6904296875,10199.6796875,10209.75,10257.6904296875,60351700.0,10257.6904296875
2019-10-30,10269.9501953125,10215.419921875,10253.6201171875,10254.9501953125,67396500.0,10254.9501953125
2019-10-31,10287.830078125,10206.26953125,10263.4599609375,10219.8203125,71388200.0,10219.8203125
2019-11-01,10279.5302734375,10223.7998046875,10235.5595703125,10252.240234375,53745800.0,10252.240234375
2019-11-04,10353.5302734375,10259.8603515625,10272.9404296875,10337.0703125,70201100.0,10337.0703125
2019-11-05,10327.6298828125,10266.7900390625,10323.2099609375,10272.98046875,68415700.0,10272.98046875
2019-11-06,10327.759765625,10252.8203125,10259.2802734375,10318.099609375,67010700.0,10318.099609375
2019-11-07,10356.0400390625,10290.849609375,10347.0400390625,10326.7802734375,61925200.0,10326.7802734375
2019-11-08,10329.1103515625,10276.7197265625,10308.0,10309.23046875,56252500.0,10309.23046875
2019-11-11,10335.7802734375,10275.9599609375,10310.9697265625,10305.26953125,42384300.0,10305.26953125
2019-11-12,10326.3798828125,10282.4404296875,10306.099609375,10314.16015625,52831300.0,10314.16015625
2019-11-13,10314.1103515625,10231.7802734375,10278.4404296875,10299.2197265625,52778300.0,10299.2197265625
2019-11-14,10311.919921875,10229.25,10299.0400390625,10233.23046875,48452900.0,10233.23046875
2019-11-15,10335.9599609375,10269.6298828125,10314.669921875,10310.1201171875,53446900.0,10310.1201171875
2019-11-18,10381.0302734375,10311.6298828125,10316.9296875,10347.1796875,48636400.0,10347.1796875
2019-11-19,10428.5703125,10348.0,10370.66015625,10366.01953125,55250300.0,10366.01953125
2019-11-20,10385.9501953125,10319.169921875,10347.990234375,10385.740234375,54011300.0,10385.740234375
2019-11-21,10360.2099609375,10285.9404296875,10322.3896484375,10338.349609375,53783200.0,10338.349609375
2019-11-22,10419.759765625,10351.0498046875,10367.490234375,10369.4404296875,65832300.0,10369.4404296875
2019-11-25,10472.9404296875,10416.7001953125,10424.9501953125,10468.6201171875,53872100.0,10468.6201171875
2019-11-26,10537.759765625,10471.080078125,10479.740234375,10506.9296875,74432400.0,10506.9296875
2019-11-27,10544.0400390625,10501.169921875,10531.6796875,10529.259765625,47103800.0,10529.259765625
2019-11-28,10538.990234375,10503.73046875,10512.099609375,10529.1396484375,27274900.0,10529.1396484375
2019-11-29,10527.8095703125,10481.58984375,10491.6396484375,10493.240234375,40064300.0,10493.240234375
